id	name
syn21991015	41591_2018_16_MOESM8_ESM_CNV_ANNOT.txt
syn21991016	450array_methylation_GMM_profile_3m.txt
syn21991017	aml_bm_hla2tscore_comparison.txt
syn21991018	aml_bm_tnk_cytscore_comparison.txt
syn21991020	AML_Galen_scRNA.Rdata
syn21991021	analysis
syn21991025	analysis.zip
syn21991026	BeatAML_cohorts.pdf
syn21991027	BeatAML_cytscore_correlations.tsv
syn21991028	BeatAML_fm_annot.Rdata
syn21991029	BeatAML_fm.Rdata
syn21991030	BeatAML_subtypes.Rdata
syn21991031	BeatAML_survival_data.Rdata
syn21991032	bindea_scores.Rdata
syn21991033	cancermap_GSE86952_AML_15pct_genes_BH-SNE_mean-shift_BW1.5.txt
syn21991041	CCLE_combined_methylation.Rdata
syn21991052	CCLE_DepMap_18q3_RNAseq_RPKM_20180718.gct
syn21991109	CCLE_RNASEQ_SYMBOL_COUNTS.Rdata
syn21991114	CCLE_RNASEQ_SYMBOL_RPKM.Rdata
syn21991115	CCLE_RRBS_TSS_1kb_20180614.txt
syn21991117	CCLE_RRBS_TSS_CpG_clusters_20180614.txt
syn21991118	CCLE_sample_info_file_2012-10-18_modified.csv
syn21991119	CCLE_sample_info_file_2012-10-18.txt
syn21991120	cd70_crispr_flow_cytometry.txt
syn21991121	CD8_NK_normals.pdf
syn21991122	CEBPA_mutations.txt
syn21991123	cellphonedb
syn21991157	cga.txt
syn21991158	Chapuy_DLBCL_subtypes.Rdata
syn21991159	CIBERSORT-Results.txt
syn21991160	CIITA_HLAII_correlation.pdf
syn21991161	CLL_D0_scRNA.Rdata
syn21991162	colors_hemap_immunology.tsv
syn21991163	colors_lineage.txt
syn21991164	Combined_pathway_signatures_2017_filtered_robust.gmt
syn21991165	Combined_pathway_signatures_2017_filtered_robust.Rdata
syn21991166	CoMMpass_MM_cohorts.pdf
syn21991167	CoMMpass_MM_subtypes.Rdata
syn21991168	CoMMpass_survival_data.Rdata
syn21991169	Compare_NK_CD8.pdf
syn21991170	costim_ligands_final.txt
syn21991171	CpGexpanded_annotations.Rdata
syn21991172	CpGregion_annotations.Rdata
syn21991173	CpGregion_CIITA_annotations.Rdata
syn21991174	CTdatabase.txt
syn21991175	cytogenetics_GSE49031.txt
syn21991176	Cytolytic_all_normal_genes.pdf
syn21991177	cytolytic_genes_best_separation.pdf
syn21991178	data_meth_parse.txt
syn21991190	data9544_with_gene_symbols.RData
syn21991191	DepMap-2018q3-celllines.csv
syn21991192	DLBC.rnaseqv2.counts.Rdata
syn21991193	drive-download-20200428T095405Z-001.zip
syn21991194	dufva_bindea_2013_geneset_listA_tempfile.Rdata
syn21991195	dufva_mw_hgt_pval_all_TNKspecific_genes.Rdata
syn21991196	dufva_mw_hgt_pval_cancer_overexpressed.Rdata
